Application mode,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Target
1,1,0,1,0,0,18,6,4,13.2,6,5,12.8,3
1,1,0,1,0,1,19,8,8,14.75,8,8,14.75,3
15,1,0,1,0,1,19,6,6,13.1428571428571,6,6,14.3333333333333,3
1,0,0,1,0,0,19,6,4,12.5,6,5,12.5,2
1,0,0,1,0,0,18,5,4,13.75,5,5,14.8571428571428,3
1,0,0,1,0,0,18,6,5,12.4,6,6,13,3
1,1,0,1,0,0,18,6,6,13.3333333333333,6,6,12,3
2,0,0,0,0,0,28,11,11,11.7272727272727,8,8,12,1
8,1,0,1,0,0,19,6,4,12.5,6,1,14,1
14,1,1,1,0,0,20,0,0,0,0,0,0,1
1,1,0,1,0,1,19,7,6,13.5333333333333,8,7,13.6142857142857,3
1,0,0,1,0,1,20,6,6,13.1666666666666,6,6,12.6666666666666,3
1,1,0,1,0,1,19,6,5,13.2,6,5,11,3
16,1,0,1,0,0,21,6,5,12.2,6,4,12.6,2
1,1,0,1,0,1,19,7,7,13.4285714285714,7,7,14.8571428571428,3
1,1,0,1,0,1,18,6,6,12.7142857142857,6,6,12.625,3
8,0,0,1,0,0,19,6,0,0,6,0,0,1
8,0,0,1,0,1,19,6,6,13.6666666666666,6,6,13.6666666666666,3
1,0,1,1,0,0,20,6,5,11,6,6,13.1666666666666,3
8,1,0,1,0,0,18,7,5,11.4,7,6,13.3333333333333,2
14,0,0,1,0,0,18,0,0,0,0,0,0,2
8,0,0,1,0,0,18,5,4,12,5,5,12,3
8,0,0,1,0,0,18,6,0,0,6,0,0,1
8,1,0,1,0,0,18,6,5,11,6,6,11.6666666666666,3
9,1,0,1,0,0,20,6,5,12,6,6,11.5714285714285,1
8,1,0,1,0,1,19,7,7,13.3085714285714,8,8,12.55,3
1,1,1,0,0,0,21,6,3,13.6666666666666,6,3,10.6666666666666,1
8,1,1,0,0,0,20,6,0,0,6,0,0,1
1,1,0,1,0,0,18,6,5,12.2,6,4,11.25,3
1,0,0,1,0,1,20,6,6,12.6666666666666,6,6,12.8333333333333,3
1,1,0,1,0,1,19,8,8,14.07125,8,8,14.07125,3
1,1,0,1,0,0,22,5,4,14.25,5,5,13.2,1
8,1,0,0,0,0,22,6,0,0,2,0,0,1
1,1,0,1,0,0,18,6,3,12,6,4,10.25,2
14,0,0,1,0,0,21,10,6,11.1666666666666,10,7,10.5714285714285,2
1,1,0,1,0,0,19,6,2,13,6,5,11.6,3
1,1,0,1,0,0,19,0,0,0,0,0,0,1
1,1,0,1,0,1,20,8,7,14.9014285714285,8,7,14.9014285714285,1
1,1,1,1,0,1,18,7,7,12.65,8,8,12.4455555555555,3
16,0,0,0,0,0,22,12,7,11,5,5,10.6,1
8,1,0,1,0,0,20,5,4,12.4,5,5,12.6666666666666,3
15,0,0,1,0,0,19,6,6,12,6,6,12.6666666666666,3
1,1,0,1,0,1,19,7,7,12.1357142857142,8,7,13.3285714285714,3
1,1,0,1,0,1,20,7,5,12.62,7,6,12.5,2
12,0,0,1,0,0,25,5,3,10.6666666666666,5,3,11.3333333333333,2
1,0,0,1,0,1,19,7,6,13.7666666666666,8,7,14.0514285714285,3
9,1,0,1,0,0,19,8,8,13.11625,8,8,13.11625,3
1,1,0,0,0,0,19,5,0,0,6,0,0,1
1,0,0,1,0,0,20,7,6,12.7,8,7,13.5714285714285,3
12,1,0,1,0,0,25,7,7,11.8571428571428,8,5,11.7,2
8,1,0,1,0,1,20,7,6,12.3333333333333,7,6,12.3333333333333,3
12,1,0,1,0,0,24,6,4,15.75,6,5,16.4,2
1,0,0,1,0,0,20,5,5,13.3333333333333,5,5,13.2,3
13,1,0,1,0,0,21,7,7,14.3555555555555,8,8,13.49375,3
15,0,1,1,0,1,19,6,6,13,6,5,13,3
1,0,0,1,0,1,19,6,6,12.8333333333333,6,6,13.5,3
1,0,0,1,0,1,21,5,5,13.2,5,4,13,3
12,0,0,1,0,0,28,7,7,17.0055555555555,8,8,16.5822222222222,3
1,1,1,0,0,1,19,6,5,10.6,6,5,11,3
1,0,0,1,0,1,18,5,5,14,5,5,13.6,3
8,1,0,1,0,1,18,8,7,12.1142857142857,8,7,12.1142857142857,3
1,1,0,1,0,1,18,8,8,13.05875,8,8,13.05875,3
13,1,0,1,0,0,22,8,7,13.2857142857142,8,7,13.2857142857142,3
1,1,0,1,0,0,19,5,4,11,5,3,10.6666666666666,2
1,0,0,1,0,1,18,7,7,14.0714285714285,8,8,15.1625,3
8,0,0,0,0,0,20,6,0,0,6,0,0,1
15,0,0,0,0,0,26,9,4,11.25,10,3,11,1
1,1,0,1,0,1,18,6,6,14,6,6,13.625,3
1,1,0,1,0,1,21,6,6,12.1666666666666,6,3,11.6666666666666,1
8,1,0,1,0,0,18,8,7,13.2971428571428,8,7,13.2971428571428,3
1,1,0,1,0,0,20,6,6,13.9230769230769,6,6,14.25,3
1,1,0,1,0,0,18,7,7,13.37,8,7,12.8333333333333,3
8,0,0,1,0,1,19,5,5,12.4,5,3,11,2
1,1,0,1,0,0,20,5,4,15,5,4,13.75,1
1,0,1,1,0,1,18,6,6,13.3333333333333,6,6,12.5714285714285,3
7,1,0,1,0,1,20,5,3,12,5,4,12.625,2
1,1,0,1,0,0,22,6,5,13.4,6,5,12.2,3
1,1,0,1,0,0,18,0,0,0,0,0,0,2
16,0,0,1,0,0,21,5,4,11.5,5,5,11.4,3
9,0,0,1,0,0,18,7,6,12,7,6,12.1666666666666,2
1,0,0,1,0,0,18,8,7,13.4857142857142,8,7,13.4857142857142,3
1,0,0,1,0,1,18,6,6,12,6,6,11.2857142857142,3
8,1,0,1,0,0,19,0,0,0,0,0,0,1
8,1,0,1,0,0,19,5,3,10.3333333333333,5,3,14.4285714285714,2
1,1,0,1,0,0,19,7,5,12.94,7,5,13.76,2
1,1,0,1,0,0,19,8,7,13.2585714285714,8,7,13.2585714285714,3
1,1,0,1,0,0,19,5,4,12.25,5,4,12,2
8,1,0,0,0,0,19,6,3,11.6666666666666,6,1,10,1
7,1,0,1,0,1,21,6,6,13.5714285714285,6,6,12.5,3
1,0,0,1,0,1,20,6,5,11.8,6,5,11.8333333333333,3
1,1,0,1,0,1,20,5,5,14.2,5,5,13.2857142857142,3
12,0,0,1,0,0,41,5,5,11,5,5,11.8,3
4,1,0,1,0,0,32,7,4,13.625,7,7,12.6375,2
8,1,0,1,0,0,18,8,7,14.6528571428571,8,7,14.6528571428571,3
12,0,0,1,0,1,35,6,6,11.3333333333333,6,6,11.3333333333333,3
12,0,1,0,0,0,32,7,4,13.7,7,0,0,1
12,0,0,1,0,0,37,11,11,13.7272727272727,8,8,14.75,3
12,0,0,1,0,0,30,7,7,11.75,8,7,11.1428571428571,1
14,0,0,1,1,0,23,6,6,12.3333333333333,6,5,13,3
8,1,0,1,0,1,20,6,6,14,6,6,13.8571428571428,1
1,0,0,1,1,0,21,5,4,11.5,5,4,11.75,3
1,0,0,1,1,0,19,5,5,11.2,5,5,13.2,3
8,1,0,1,1,1,18,8,7,15.07,8,7,15.07,3
13,0,0,1,1,0,18,5,1,10,5,1,12,1
12,0,0,1,1,0,24,5,4,12,5,5,12.6666666666666,2
9,1,0,1,1,0,22,6,4,13,6,4,12.6,3
8,1,0,1,1,0,18,6,4,11,6,3,11.25,1
7,1,0,1,0,0,18,6,6,13.5714285714285,6,5,12.1666666666666,3
1,1,0,1,1,0,21,6,5,14.6,6,5,14.2,3
12,0,1,1,0,0,38,7,3,11.8333333333333,7,2,10,1
9,0,0,1,0,1,19,7,7,12.625,8,8,12.5125,3
12,0,0,1,0,0,36,7,4,11.5,7,3,12.3333333333333,1
7,1,0,1,0,0,18,5,4,13.25,5,4,10.5,3
1,1,0,1,0,0,19,7,7,12.60625,8,6,11.9,3
17,0,1,0,0,0,21,10,8,13.75,9,5,13.2,1
1,1,0,1,0,0,19,7,6,13.5983333333333,8,6,11.9333333333333,2
1,0,0,1,0,1,18,6,5,11.1428571428571,6,6,12.2857142857142,3
4,1,0,1,0,0,45,11,11,12.7,10,10,12.9681818181818,2
8,1,0,1,0,0,20,5,1,10,5,1,11,1
8,1,1,1,0,0,18,6,6,11.6666666666666,6,4,11.5,3
1,0,0,1,0,1,18,6,6,14,6,6,13.1428571428571,3
4,0,0,1,0,0,25,5,0,0,5,0,0,1
1,1,0,1,0,0,19,8,7,12.0414285714285,8,7,12.0414285714285,3
1,1,0,1,0,1,18,0,0,0,0,0,0,3
4,0,0,1,0,0,39,13,13,13.7692307692307,12,12,14.5833333333333,3
12,0,0,1,0,0,29,18,18,15.4444444444444,13,13,15.3076923076923,3
8,1,0,1,0,0,18,7,6,11.5,7,7,12.7142857142857,2
4,0,0,0,0,0,23,3,2,10,6,0,0,1
13,1,0,1,0,0,21,6,4,12.25,6,3,10.3333333333333,1
1,0,0,0,0,0,18,6,6,14.5,6,6,15.1666666666666,3
4,1,0,1,0,0,23,6,6,15.5714285714285,6,6,16.375,3
1,0,0,1,0,0,18,6,6,15.5714285714285,6,6,14.7142857142857,3
12,0,0,1,0,0,32,6,5,13.8,6,6,12.1666666666666,3
12,0,1,0,0,0,29,5,3,10.6666666666666,5,2,14.8,1
1,1,1,1,0,1,20,6,5,11.6,6,4,11.75,3
12,1,0,0,0,0,28,6,1,13,6,0,0,1
4,0,0,1,0,0,27,5,3,12,5,4,13.625,3
14,0,1,1,0,0,22,14,12,12.3333333333333,14,12,12.3333333333333,3
12,0,1,1,0,0,37,6,6,12.875,6,6,12.9,2
4,0,0,0,0,0,28,6,1,11,6,0,0,1
12,0,1,0,0,0,43,6,4,12.25,6,4,10.5,1
14,1,0,0,0,0,32,7,0,0,8,0,0,1
8,0,0,1,0,1,20,6,4,10.75,6,5,11.5,2
12,0,0,1,0,1,35,8,8,13.63,8,8,13.63,3
1,1,0,1,0,0,21,5,3,13,5,4,11.5,3
1,1,0,1,0,1,18,7,6,13.5333333333333,7,7,12.2285714285714,2
1,0,0,1,0,1,18,7,7,16.9,8,8,16.3777777777777,3
8,1,0,1,0,0,18,6,5,12,6,4,12,3
15,1,0,1,0,0,22,6,6,12.5,6,6,13.2857142857142,3
1,1,0,1,0,0,19,8,7,12.7642857142857,8,7,12.7642857142857,3
9,1,0,1,0,1,18,5,5,13.75,5,5,12.1666666666666,3
1,1,1,1,0,0,19,0,0,0,0,0,0,1
1,0,0,1,0,1,18,7,7,14.6042857142857,8,8,15.6833333333333,3
12,0,1,0,0,0,31,5,0,0,5,0,0,1
12,0,1,1,0,1,33,6,5,13.8333333333333,6,6,12.5,3
1,1,0,1,0,1,19,8,8,13.57625,8,8,13.57625,3
8,1,0,1,0,1,18,6,6,15.1428571428571,6,6,15.8333333333333,3
1,0,0,1,0,0,23,5,3,10.6666666666666,5,5,11.6,3
8,1,0,1,0,0,20,6,5,11.2,6,6,12,3
1,1,0,1,0,0,18,8,8,13.76375,8,8,13.76375,3
17,1,1,1,0,0,21,9,8,13.25,9,5,12.2,2
1,0,0,1,0,1,22,6,5,10.7142857142857,6,5,12.2,3
1,1,1,1,0,0,20,6,6,12.1666666666666,6,6,11.6666666666666,3
4,1,0,1,0,0,23,7,6,14.3571428571428,7,6,14.3571428571428,3
8,1,0,1,0,0,19,6,6,12.8333333333333,6,6,12.6666666666666,3
8,1,0,1,0,0,19,8,7,13.9257142857142,8,7,13.9257142857142,3
12,0,0,1,0,0,26,5,2,12,5,3,11,1
1,1,0,1,0,0,18,7,7,13.4428571428571,8,8,13.7444444444444,3
9,1,0,1,1,0,18,5,1,16,5,0,0,1
15,1,0,1,1,0,20,6,6,13.125,6,6,13.2,3
1,0,0,1,1,0,19,6,0,0,6,0,0,1
14,0,0,0,1,0,32,9,5,11.4,4,4,11,1
12,0,0,0,1,0,31,4,2,11,5,3,11.6666666666666,1
12,0,0,1,1,0,25,5,1,11,5,1,10,2
13,1,0,1,0,0,21,6,5,13.6666666666666,6,5,13,3
14,0,0,0,0,0,31,6,4,11.75,5,1,10,1
12,0,0,1,0,0,34,7,1,10,7,1,13,1
1,0,0,1,0,1,18,6,6,13.5,6,6,12.8333333333333,3
1,1,1,1,0,0,19,6,0,0,6,0,0,1
17,1,1,1,0,0,21,6,1,12,6,1,11,2
1,1,0,0,0,0,18,6,3,13,6,5,11.8,1
1,1,0,1,0,0,20,6,6,14.8333333333333,6,6,16,3
14,1,0,1,0,0,20,6,6,11.8333333333333,6,6,12.8571428571428,3
8,1,0,1,0,1,18,6,5,12,6,5,12.3333333333333,3
1,1,0,1,0,0,19,6,4,12.75,6,6,11.3333333333333,3
14,1,0,1,0,0,19,5,0,0,5,4,14.75,2
12,1,0,1,0,1,30,6,0,0,6,1,10,1
8,1,0,1,0,0,19,6,6,12,6,6,12.8571428571428,3
1,1,0,1,0,0,19,7,7,11.6777777777777,8,8,13.8,3
1,1,0,1,0,1,19,8,7,13.6,8,7,13.6,3
1,1,0,1,0,0,19,6,6,16,6,6,15.875,3
1,1,0,1,0,0,20,6,5,11.8,6,6,11.5,3
13,0,1,1,1,0,25,5,0,0,6,2,14,1
1,0,0,1,1,0,19,6,0,0,6,0,0,1
12,0,1,1,0,1,34,6,6,16.1428571428571,6,6,16.2,3
9,1,0,1,0,1,18,8,7,11.7857142857142,8,7,11.7857142857142,3
1,1,0,1,0,1,18,8,8,13.42375,8,8,13.42375,3
1,0,0,1,0,0,20,6,6,12.5,6,5,14.1666666666666,3
8,1,0,1,0,1,20,8,7,12.4642857142857,8,7,12.4642857142857,3
17,0,1,1,0,0,23,11,8,12.375,9,5,12.6,2
12,0,0,1,0,0,28,6,1,10,6,0,0,1
8,0,0,1,0,0,18,6,5,12.6,6,6,12.4285714285714,2
14,1,0,1,0,0,19,5,5,12.6,5,4,12.4,3
1,1,0,1,0,0,34,5,2,10,5,4,12,1
16,0,0,1,0,0,35,7,0,0,6,0,0,1
4,0,0,1,0,0,32,5,5,11.6,5,5,12.3333333333333,3
8,1,0,1,0,0,19,6,6,12.1666666666666,6,6,13.5,3
8,1,0,1,0,0,18,6,4,13.6,6,5,12.6666666666666,3
12,0,0,0,0,0,35,5,4,12.5,5,5,11.8,1
12,0,0,1,1,1,24,6,4,12.25,6,4,11.5,2
8,1,0,1,0,1,20,6,6,11.7142857142857,6,6,12.625,3
1,1,0,1,1,1,18,6,6,13.5,6,6,13,3
1,1,0,1,1,1,20,8,7,13.0242857142857,8,7,13.0242857142857,3
8,1,0,0,1,0,18,6,0,0,6,0,0,1
1,0,0,1,1,1,18,5,5,17.3333333333333,5,5,18.5714285714285,3
1,0,0,1,1,1,20,5,4,11,5,4,11.5,3
8,1,0,1,1,0,19,7,6,13.6666666666666,7,6,12.5,1
1,1,0,1,1,1,20,6,6,11.375,6,5,13.8,2
1,0,0,1,1,0,19,6,6,12.8333333333333,6,6,11.8333333333333,3
1,1,0,1,1,0,20,6,5,12.6,6,4,11.5,3
1,1,0,1,1,0,22,7,6,14.3333333333333,8,7,13.7714285714285,3
8,0,0,1,1,1,18,5,4,13.5,6,6,13.625,2
1,0,0,1,1,0,19,8,7,14.2857142857142,8,7,14.2857142857142,3
15,0,0,1,1,0,22,6,3,11.75,6,2,10,1
8,1,0,1,1,0,20,5,5,14.8,5,5,17.6,3
12,0,1,0,1,0,34,6,0,0,6,0,0,1
12,0,0,1,1,0,24,6,1,10,5,0,0,1
12,1,0,1,1,0,26,5,0,0,5,0,0,1
12,0,0,1,1,0,35,7,4,12.6,7,5,12.38,1
1,1,0,1,1,0,22,5,5,12.4285714285714,5,5,11.8,3
9,1,0,1,1,0,26,6,4,10,6,3,12,2
8,0,0,1,1,0,19,5,3,12.3333333333333,5,0,0,1
1,1,0,0,1,0,19,6,0,0,6,0,0,1
15,0,1,1,1,0,20,0,0,0,0,0,0,3
16,0,1,1,1,0,21,11,10,12.1,8,8,13.3333333333333,3
1,1,0,1,0,1,19,6,6,14.7142857142857,6,6,15,3
1,1,0,1,0,0,18,6,6,12.6666666666666,6,6,12.8333333333333,3
17,0,0,1,0,1,23,12,12,14.3846153846153,10,10,13.3,3
8,1,0,1,0,1,18,5,5,13.4,5,5,12.2,3
9,1,0,1,0,0,18,8,7,13.3142857142857,8,7,13.3142857142857,3
1,1,0,1,0,0,19,8,7,11.9885714285714,8,7,11.9885714285714,3
17,1,0,1,0,0,21,11,11,11.5454545454545,9,8,12.8888888888888,3
1,1,0,1,0,1,18,6,6,16.4615384615384,6,6,13.875,3
1,1,0,1,0,1,24,6,6,13.6666666666666,6,6,12.8333333333333,3
1,1,0,1,0,0,18,7,7,12.65,8,8,13.4111111111111,1
1,1,0,1,0,0,18,6,6,12.3333333333333,6,3,12,2
8,1,0,1,0,0,20,7,6,14.37,8,7,14.65,3
8,1,0,1,0,0,19,5,3,12,5,4,11.75,2
1,1,0,0,0,1,18,6,3,12,6,3,10.6666666666666,1
14,0,0,1,0,1,19,6,4,12,6,3,11,1
8,1,0,1,0,0,19,6,5,12.6,6,5,11.2,3
1,0,1,1,0,0,18,6,6,12.1666666666666,6,6,12.3333333333333,3
1,1,0,1,0,0,20,7,6,13.5,7,6,14,2
1,1,0,1,0,1,18,8,8,13.76375,8,8,13.76375,3
8,1,0,1,0,1,19,7,6,12.4,7,6,12.8,3
8,1,0,1,0,0,18,5,4,10.6666666666666,5,2,12,2
1,1,0,1,0,0,18,7,6,14.3333333333333,7,6,14.3333333333333,3
1,1,0,1,0,0,21,6,4,12.5,6,2,12.6666666666666,2
8,1,1,0,0,0,19,6,1,10,6,0,0,1
1,1,0,1,0,0,21,7,7,14.69625,8,8,14.6222222222222,3
1,0,0,1,0,0,18,6,4,11.5,6,3,13.75,2
8,0,0,1,0,1,18,7,7,12.8555555555555,8,8,13.9125,3
1,0,0,1,0,0,18,7,7,13.7,8,8,13.9944444444444,3
1,0,0,0,0,0,23,5,0,0,5,1,12,1
1,1,0,1,0,0,20,6,3,11.2,6,4,12,2
1,0,0,1,0,0,18,7,7,13.2857142857142,8,8,13.3333333333333,3
8,1,0,1,0,0,19,6,5,13,6,5,10.4,2
12,0,0,1,0,1,27,7,6,12.6,7,6,11.6857142857142,2
8,1,1,0,0,1,19,5,5,12.8,5,4,12,2
14,1,0,1,0,0,21,6,5,11.5,6,5,11,1
9,1,0,1,0,1,19,8,7,11.4,8,7,11.4,3
15,0,0,1,0,1,21,6,6,12.3333333333333,6,6,11.3333333333333,3
1,1,0,1,0,0,18,6,5,12.8,6,4,12.2,3
8,1,0,1,0,1,20,5,5,12,5,4,15,3
1,1,0,1,0,1,18,6,5,13,6,5,13.5,3
8,1,1,0,0,1,18,6,6,11.8333333333333,6,6,11,1
1,1,0,1,0,0,18,6,6,14,6,6,13.3333333333333,3
8,1,0,1,0,1,18,6,6,12.3333333333333,6,6,13.5,3
1,1,0,1,0,1,19,7,5,13.04,7,7,12.5,2
17,1,1,0,0,0,23,11,11,13.1666666666666,9,8,13.3333333333333,2
12,1,0,1,0,1,24,6,6,12.5,6,6,12.8333333333333,3
1,1,0,1,0,0,19,0,0,0,0,0,0,3
1,1,0,1,0,0,18,8,7,15.6571428571428,8,7,15.6571428571428,3
1,0,0,1,0,0,19,6,6,12.1666666666666,6,6,11.3333333333333,3
8,1,0,1,0,0,19,6,0,0,6,0,0,1
1,0,0,1,0,1,20,6,5,10.6,6,5,11.1666666666666,2
1,0,0,1,0,0,20,6,6,13.4285714285714,6,5,12.6666666666666,2
12,0,0,1,0,0,26,6,4,11.75,6,0,0,1
12,0,1,0,1,0,36,5,0,0,5,0,0,1
8,0,0,0,1,0,19,0,0,0,0,0,0,1
13,0,0,0,1,0,27,5,0,0,5,0,0,1
1,0,0,1,1,0,18,5,1,13,5,0,0,1
1,1,0,1,1,1,18,8,7,13.3314285714285,8,7,13.3314285714285,3
12,0,0,1,1,0,28,6,0,0,6,0,0,1
15,1,0,1,1,0,21,0,0,0,0,0,0,3
1,0,0,1,1,0,19,7,6,13.7,7,6,13.7,3
12,0,1,0,1,0,26,5,0,0,5,0,0,1
16,1,0,1,1,0,20,9,9,13.4545454545454,7,6,13.875,1
1,1,0,1,1,0,19,8,7,12.2,8,7,12.2,3
1,1,0,1,1,0,21,5,3,10,5,4,11,1
17,0,0,1,1,1,23,6,5,13,6,6,12.8571428571428,3
12,0,0,1,1,0,29,6,6,12,6,6,14,3
1,0,0,1,1,0,20,8,7,15.0285714285714,8,7,15.0285714285714,3
1,0,0,1,1,0,18,6,6,12,6,6,11.7142857142857,3
1,1,0,1,1,0,19,6,5,12,6,5,12.4,3
4,0,0,0,1,0,23,7,3,13.6666666666666,8,3,11.3333333333333,1
1,0,0,1,1,0,21,0,0,0,0,0,0,1
8,1,0,1,1,0,18,5,5,12,5,4,12.5,2
1,1,0,1,1,1,18,0,0,0,0,0,0,3
1,1,1,0,1,0,21,6,1,14,6,0,0,1
16,0,0,1,1,0,22,6,0,0,6,0,0,1
9,1,0,1,1,0,21,7,7,12.375,7,5,12.5833333333333,3
12,1,0,0,1,0,32,7,0,0,8,0,0,1
4,1,0,1,1,0,27,18,18,11.4210526315789,13,13,11.076923076923,3
1,1,0,1,1,0,18,7,6,13.35,7,6,13.35,3
12,1,0,1,1,1,24,6,6,15,6,2,16,3
1,1,0,1,1,0,22,5,2,10.5,5,0,0,1
14,1,0,0,1,0,22,6,0,0,4,0,0,1
1,1,0,1,1,0,19,5,5,13.25,5,5,11.8333333333333,3
8,1,0,1,1,0,19,5,0,0,5,0,0,1
1,1,0,1,1,0,21,5,4,11.5,5,3,10.6,2
1,1,0,1,0,1,18,8,8,13.88125,8,8,13.88125,3
1,1,0,1,0,0,18,6,6,11.3333333333333,6,5,12.6,3
1,1,1,1,0,0,20,0,0,0,0,0,0,1
8,1,0,1,0,0,19,6,6,12.8571428571428,6,6,13.6666666666666,3
8,1,1,1,0,0,19,6,5,11.6,6,6,12.5,3
8,1,0,1,0,1,18,6,5,11.4,6,6,11.3333333333333,3
1,1,0,1,0,0,20,6,6,13.3333333333333,6,6,13,2
15,0,1,1,0,1,22,7,7,13.5714285714285,9,9,13.7777777777777,3
12,0,0,1,0,0,31,7,6,11.8333333333333,7,7,12.2285714285714,3
8,0,0,1,0,1,19,7,7,14.4285714285714,7,7,14.1428571428571,3
1,1,0,1,0,0,18,0,0,0,0,0,0,2
1,1,0,1,0,1,18,6,6,12.2857142857142,6,5,12.4,3
1,0,0,1,0,0,21,5,5,14.4,5,5,13.8,3
8,1,0,1,0,1,18,7,7,13.15,8,8,15.06875,3
15,0,1,0,1,0,25,5,0,0,5,0,0,1
6,0,1,1,1,0,21,5,0,0,6,0,0,1
9,1,0,1,0,1,19,8,7,12.3428571428571,8,7,12.3428571428571,3
1,1,0,1,0,0,19,6,5,12.2,6,5,10.8,2
8,1,0,1,0,0,22,6,4,10.5,6,1,11,1
6,0,0,1,1,0,19,5,5,10.6,5,5,11.6,3
12,0,0,1,0,0,58,6,0,0,6,0,0,1
7,1,0,1,0,1,19,6,4,11.25,6,6,12,3
14,1,0,1,1,0,23,9,6,10.5,10,10,11.7,3
1,1,0,1,0,1,19,6,4,11,6,3,11.6666666666666,2
9,1,0,1,0,0,18,7,7,13.4571428571428,8,8,14.5125,3
1,0,0,1,0,0,20,5,5,12.6,5,4,12.3333333333333,3
8,0,0,0,0,0,18,6,0,0,6,0,0,1
8,0,0,1,0,0,18,6,6,13.6666666666666,6,5,13.6,3
8,1,1,1,0,1,18,5,5,11.6,5,5,11.8,3
12,0,0,1,0,0,24,6,6,12.5714285714285,6,5,12.8333333333333,1
8,1,0,1,0,0,18,6,5,11.8,6,5,11.4,1
1,1,0,1,0,1,19,5,5,11.6,5,3,12.6666666666666,2
8,1,0,1,0,1,19,6,6,11.3333333333333,6,6,11.8333333333333,3
1,1,0,1,0,0,18,6,6,10.6666666666666,6,6,11.5,3
1,1,0,1,0,0,18,5,4,13.5,5,5,13.4,2
1,1,0,1,0,1,19,0,0,0,0,0,0,3
15,0,0,1,0,0,22,6,6,13.3333333333333,6,4,11.5,3
1,1,0,1,0,0,19,6,5,13.4,6,2,13.5,2
8,1,0,1,0,1,21,6,3,10.2,6,4,12.25,2
8,1,0,1,0,1,21,6,5,13,6,6,12.8333333333333,3
1,1,0,1,0,1,18,8,7,12.9085714285714,8,7,12.9085714285714,3
1,1,0,1,0,0,20,6,4,12,6,1,10,1
1,1,0,1,0,1,18,6,6,10.8333333333333,6,5,11,2
7,1,0,1,0,0,19,6,6,15.3333333333333,6,6,15.8333333333333,3
1,1,0,1,0,1,18,7,6,12.8166666666666,8,6,12.875,2
6,0,1,0,1,0,26,7,6,13,6,2,14,1
6,0,1,1,0,0,19,6,2,13.5,5,2,11,2
12,0,0,1,0,0,35,6,6,12.5,6,6,12.1666666666666,3
9,1,0,1,0,1,19,6,6,13,6,6,14.3333333333333,3
1,1,0,1,1,0,18,5,4,11.75,5,5,12.5714285714285,3
1,0,0,1,1,0,19,5,4,12.5,5,4,14.25,3
1,1,0,1,1,0,25,17,17,11.6111111111111,17,17,12.0555555555555,3
8,1,0,1,1,0,18,6,6,14,6,6,14.6666666666666,3
8,1,1,0,1,0,26,6,0,0,6,0,0,1
14,0,0,1,1,0,34,5,5,13.8,5,5,13.8333333333333,3
1,1,0,0,1,0,18,5,0,0,5,0,0,1
1,0,0,0,1,0,18,0,0,0,0,0,0,1
8,1,0,1,1,1,18,5,4,12.25,5,3,12.3333333333333,1
15,0,0,1,1,0,20,6,3,11.5,6,3,13.6666666666666,1
15,0,0,1,1,0,25,7,6,12.5714285714285,9,9,12.5555555555555,3
8,0,0,1,1,0,18,6,6,12,6,5,12.1666666666666,1
1,1,0,1,1,0,19,12,11,12,12,12,12.3076923076923,3
1,1,0,1,1,0,20,0,0,0,0,0,0,1
9,1,0,1,1,1,20,7,6,12,6,6,11.1666666666666,3
1,0,0,1,1,0,20,5,4,11.6,5,4,12.25,2
1,1,0,1,1,1,19,5,0,0,5,0,0,1
1,0,0,1,1,0,20,5,5,12,5,4,13,2
1,1,0,1,1,0,18,7,6,13.9766666666666,8,6,12.0416666666666,2
1,1,0,1,1,0,19,6,4,12.5,6,1,10,2
9,1,0,0,1,0,20,5,0,0,5,0,0,1
12,0,0,1,1,0,24,6,4,10.5,6,4,12.5,1
15,1,0,1,1,0,20,6,5,12.8571428571428,6,6,12.3,3
1,1,0,1,1,0,19,5,3,11.6666666666666,5,4,12,2
16,0,0,1,1,0,23,5,2,13,5,1,10,1
8,1,0,1,1,0,20,6,6,11.8333333333333,6,5,10.4,2
14,0,0,1,1,0,21,11,11,12.4545454545454,11,8,12.75,3
8,1,0,1,1,0,20,5,3,11,5,0,0,1
8,1,0,1,1,0,21,5,4,13.2,5,4,14.25,2
1,0,0,1,1,1,18,6,6,15.5,6,6,14.1666666666666,3
1,1,0,1,1,0,18,6,6,12.3333333333333,6,6,13.6666666666666,3
8,1,0,1,1,0,18,5,5,12,5,4,11.4,2
15,1,0,1,1,0,20,6,4,11.6,6,5,11.5,2
8,0,0,1,1,1,18,6,6,11.3333333333333,6,6,12.2857142857142,3
8,1,0,1,1,0,19,6,0,0,6,0,0,1
8,1,0,1,1,0,20,5,4,12,5,2,12.5,2
8,0,0,1,1,0,19,5,4,12,5,5,12.6,3
12,1,1,1,1,0,33,5,2,12.5,5,2,11.5,1
16,1,0,1,1,0,21,12,12,13.6666666666666,11,11,13,3
12,0,1,0,1,0,25,6,2,14.5,6,0,0,1
1,1,0,1,1,1,20,6,4,13.2,6,0,0,1
17,1,0,1,1,1,22,7,5,12.1666666666666,8,5,14.8,1
12,0,0,1,0,0,39,6,4,11.25,6,6,11.3333333333333,3
